rank,candidate_index,cation,anion,il_smiles,fw_aei_score,co2_pred,co2_std,vis_pred,vis_std,tox_pred,tox_std,pareto_within_selected_set
86,75877,C[NH3+],NCC(=O)[O-],C[NH3+].NCC(=O)[O-],0.19675103459172558,0.3884458290602966,0.09287278656703116,-2.767274856567383,1.3061510660040478,3.755436658859253,2.873038410560696,False
87,74820,C[NH+](CCO)CCO,N#CN=C=[N-],C[NH+](CCO)CCO.N#CN=C=[N-],0.19466108899756618,0.4547323104433127,0.11663994166040258,-2.0096912384033203,1.194760113903404,3.756695508956909,2.5697216525911233,False
88,36807,CCCC[N+]1C=CC=C(C(=O)[O-])C1,O=S(=O)(F)NS(=O)(=O)F,CCCC[N+]1C=CC=C(C(=O)[O-])C1.O=S(=O)(F)NS(=O)(=O)F,0.19369724506461758,0.26610255974201913,0.19274480141090594,-2.883516311645508,1.0206416138174537,3.6492507457733154,2.3822979480931368,False
89,2788,C=Cn1cc[n+](CC(CBr)N=[N+]=[N-])c1,CC1(C(=O)[O-])CCCN1,C=Cn1cc[n+](CC(CBr)N=[N+]=[N-])c1.CC1(C(=O)[O-])CCCN1,0.19308430817799174,0.38806427255839104,0.1911153888135121,-2.3118152618408203,1.07518128707289,3.6606605052948,2.75206367048641,False
90,48623,CCC[NH+](C)CCC,CC(=O)[O-],CCC[NH+](C)CCC.CC(=O)[O-],0.19282757842604306,0.3982949197191835,0.1140368285854628,-2.548585891723633,1.1128139117263285,3.694279432296753,1.6474352497117444,False
91,64128,CCn1cc[nH+]c1,O=C([O-])C1CCCN1,CCn1cc[nH+]c1.O=C([O-])C1CCCN1,0.1927134909750396,0.40971283518830465,0.1939222249217227,-2.0762500762939453,1.154206093253599,3.89473032951355,2.366828110610439,False
92,36758,CCCC[N+]1C=CC=C(C(=O)[O-])C1,N#CC(=C=[N-])C#N,CCCC[N+]1C=CC=C(C(=O)[O-])C1.N#CC(=C=[N-])C#N,0.19052171373168217,0.26044513298027405,0.19005750243094655,-3.081697463989258,0.8102746713254946,3.598839521408081,2.6418065243671274,False
93,24324,CCCCCC[NH+](CCCCCC)CCCCCC,NCCC(=O)[O-],CCCCCC[NH+](CCCCCC)CCCCCC.NCCC(=O)[O-],0.18991977424036502,0.3597187446931683,0.12559761986882054,-3.372529983520508,0.8507344130557504,2.0275542736053467,3.160901560557859,False
94,75409,C[NH+]1C=CN=C1,O=S1(=O)N=C([O-])c2ccccc21,C[NH+]1C=CN=C1.O=S1(=O)N=C([O-])c2ccccc21,0.18943859726380685,0.22642289113473157,0.16316933750009868,-3.709779739379883,1.2356833754909555,2.746384382247925,2.8430496862620407,False
95,81091,Cc1cccc[nH+]1,O=C1[N-]S(=O)(=O)c2ccccc21,Cc1cccc[nH+]1.O=C1[N-]S(=O)(=O)c2ccccc21,0.18821042629026027,0.22015868698933636,0.15630051571078238,-4.04045295715332,1.2205706471082345,3.303105115890503,1.1627428908556228,False
96,74811,C[NH+](CCO)CCO,F[B-](F)(F)C(F)(F)C(F)(F)F,C[NH+](CCO)CCO.F[B-](F)(F)C(F)(F)C(F)(F)F,0.1855492088409057,0.4565102147137275,0.1171457550129462,-1.8143024444580078,1.3444546914345055,3.5587661266326904,2.451637837776201,False
97,75277,C[NH+]1C=CN=C1,CCC(=O)[O-],C[NH+]1C=CN=C1.CCC(=O)[O-],0.18359476538275538,0.2257993040467793,0.14036190906783189,-4.042329788208008,1.2348729831228458,3.5863959789276123,2.984936246973884,False
98,1314,C=CC[NH+](C)C,NCC(=O)[O-],C=CC[NH+](C)C.NCC(=O)[O-],0.1817714277837398,0.41245958324395926,0.12673629809135037,-2.2336902618408203,1.1897764972157696,3.5827338695526123,3.013450985302451,False
99,49250,CCC[S+]1CCCC1,O=C([O-])C1CCCN1,CCC[S+]1CCCC1.O=C([O-])C1CCCN1,0.18126080017164337,0.41286998247386153,0.19388236175860218,-1.7038440704345703,1.4102213836590551,3.776013135910034,2.3743624584391934,False
100,1487,C=CC[NH+](C)CC=C,NCC(=O)[O-],C=CC[NH+](C)CC=C.NCC(=O)[O-],0.1793875223339307,0.3854436197676502,0.15913224021743125,-2.154451370239258,1.2698908369952597,3.532646894454956,3.128263676605777,False
