smiles,family,tsne_1,tsne_2,type,mw
CCCC[n+]1ccn(CC)c1,imidazolium,2.1918066,7.4789677,cation,153.249
CCCC[n+]1ccn(CCC#N)c1,imidazolium,3.879332,8.939767,cation,178.259
CCCC[n+]1ccn(Cc2ccc(C)cc2)c1,imidazolium,18.848562,18.322615,cation,229.347
CCCC[n+]1ccn(Cc2ccccc2)c1,imidazolium,12.68446,25.988699,cation,215.32000000000002
CCCCc1cccc[n+]1CC,pyridinium,9.578524,19.119421,cation,164.27199999999993
CCCCn1c(C)cc(C)[n+]1-c1ccccc1,imidazolium,15.237079,24.201544,cation,229.347
CCCCn1c[n+](CCCCS(=O)(=O)O)cn1,ammonium,7.242078,7.19923,cation,262.35499999999996
CCCCn1c[nH+]c2ccccc21,imidazolium,10.418793,22.801533,cation,175.255
CCCCn1cc[n+](C)c1,imidazolium,-10.343301,15.652709,cation,139.22199999999998
CCCCn1cc[n+](C)c1C,imidazolium,-2.5738115,3.8812995,cation,153.24899999999997
CCCCn1cc[n+](CC)c1,imidazolium,0.997123,8.160989,cation,153.249
CCCCn1cc[n+](CCC#N)c1,imidazolium,3.9011478,8.924701,cation,178.259
CCCCn1cc[n+](CCC(C)C)c1,imidazolium,3.9759164,6.9313664,cation,195.32999999999998
CCCCn1cc[n+](CCCC)c1,imidazolium,7.704456,4.5853724,cation,181.30299999999997
CCCCn1cc[n+](CCCCCCO)c1,imidazolium,13.041559,3.413505,cation,225.35599999999994
CCCCn1cc[n+](CCCCS(=O)(=O)O)c1,imidazolium,6.953388,6.3851423,cation,261.36699999999996
CCCCn1cc[n+](CCCS(=O)(=O)O)c1,imidazolium,6.661726,6.340999,cation,247.33999999999997
CCCCn1cc[n+](CCOCCOCCOCCOCC[n+]2ccn(CCCC)c2)c1,imidazolium,19.183088,8.515857,cation,452.64000000000027
CCCCn1cc[n+](CCOCCOCCOCC[n+]2ccn(CCCC)c2)c1,imidazolium,18.868195,8.515941,cation,408.58700000000016
CCCCn1cc[n+](CCOCCOCC[n+]2ccn(CCCC)c2)c1,imidazolium,18.218407,8.478864,cation,364.5340000000001
CCCCn1cc[n+](CCOCC[n+]2ccn(CCCC)c2)c1,imidazolium,17.752888,8.429783,cation,320.48100000000005
CCCCn1ccc[n+]1C,imidazolium,0.70407975,11.555177,cation,139.22199999999998
CCCN,other,-8.350783,-8.200447,cation,59.11199999999999
CCCOCC[N+]1(C)CCCC1,pyrrolidinium,-28.930962,-27.18997,cation,172.29199999999994
CCCOCC[n+]1ccccc1,pyridinium,3.7403445,31.654474,cation,166.244
CCCOCC[n+]1ccn(C)c1,imidazolium,-1.8528824,12.01266,cation,169.248
CCCOC[n+]1cccc(O)c1,pyridinium,8.585114,16.497772,cation,168.21599999999998
