smiles,type,family,molecular_weight
CCCC[P+](CCCC)(CCCC)CCCC,cation,phosphonium,259.43799999999993
CCCC[P+](CCCC)(CCCC)CCCN,cation,phosphonium,260.42599999999993
CCCC[P+](CCCC)(CCCC)CCSC,cation,phosphonium,277.47799999999995
CCCC[P+](CCCC)(CCCC)CCSCC,cation,phosphonium,291.505
CCCC[P+](CCCC)(CCCC)COC,cation,phosphonium,247.38299999999992
CCCC[P+](CCCC)(CCCC)CSC,cation,phosphonium,263.45099999999996
CCCC[S+]1CCCC1,cation,sulfonium,145.29099999999997
CCCC[n+]1cc(C)cc(C)c1,cation,pyridinium,164.27199999999996
CCCC[n+]1cc[nH]c1,cation,imidazolium,125.19499999999996
CCCC[n+]1ccc(C)c(C)c1,cation,pyridinium,164.27199999999996
CCCC[n+]1ccc(C)cc1,cation,pyridinium,150.24499999999998
CCCC[n+]1ccc(N(C)C)cc1,cation,pyridinium,179.28699999999998
CCCC[n+]1ccc2ccccc2c1,cation,pyridinium,186.278
CCCC[n+]1cccc(C#N)c1,cation,pyridinium,161.22799999999998
CCCC[n+]1cccc(C)c1,cation,pyridinium,150.24499999999998
CCCC[n+]1cccc(C)c1C,cation,pyridinium,164.27199999999996
CCCC[n+]1cccc2ccccc21,cation,pyridinium,186.278
CCCC[n+]1ccccc1,cation,pyridinium,136.21799999999996
CCCC[n+]1ccccc1C,cation,pyridinium,150.24499999999995
CCCC[n+]1ccn(C(CC)CC)c1,cation,imidazolium,195.32999999999996
CCCC[n+]1ccn(C)c1,cation,imidazolium,139.22199999999998
CCCC[n+]1ccn(C)c1C,cation,imidazolium,153.24899999999997
CCCC[n+]1ccn(C2CCCC2)c1,cation,imidazolium,193.31399999999994
CCCC[n+]1ccn(CC)c1,cation,imidazolium,153.249
CCCC[n+]1ccn(CCC#N)c1,cation,imidazolium,178.259
CCCC[n+]1ccn(Cc2ccc(C)cc2)c1,cation,imidazolium,229.347
CCCC[n+]1ccn(Cc2ccccc2)c1,cation,imidazolium,215.32000000000002
CCCCc1cccc[n+]1CC,cation,pyridinium,164.27199999999993
CCCCn1c(C)cc(C)[n+]1-c1ccccc1,cation,pyrazolium,229.347
CCCCn1c[n+](CCCCS(=O)(=O)O)cn1,cation,other N-heterocycle,262.35499999999996
CCCCn1c[nH+]c2ccccc21,cation,imidazolium,175.255
CCCCn1cc[n+](C)c1,cation,imidazolium,139.22199999999998
CCCCn1cc[n+](C)c1C,cation,imidazolium,153.24899999999997
CCCCn1cc[n+](CC)c1,cation,imidazolium,153.249
CCCCn1cc[n+](CCC#N)c1,cation,imidazolium,178.259
CCCCn1cc[n+](CCC(C)C)c1,cation,imidazolium,195.32999999999998
CCCCn1cc[n+](CCCC)c1,cation,imidazolium,181.30299999999997
CCCCn1cc[n+](CCCCCCO)c1,cation,imidazolium,225.35599999999994
CCCCn1cc[n+](CCCCS(=O)(=O)O)c1,cation,imidazolium,261.36699999999996
CCCCn1cc[n+](CCCS(=O)(=O)O)c1,cation,imidazolium,247.33999999999997
CCCCn1ccc[n+]1C,cation,pyrazolium,139.22199999999998
CCCOCC[N+]1(C)CCCC1,cation,pyrrolidinium,172.29199999999994
CCCOCC[n+]1ccccc1,cation,pyridinium,166.244
CCCOCC[n+]1ccn(C)c1,cation,imidazolium,169.248
CCCOC[n+]1cccc(O)c1,cation,pyridinium,168.21599999999998
CCC[N+](C)(C)CC,cation,ammonium,116.22799999999998
CCC[N+](C)(C)CCO,cation,ammonium,132.227
CCC[N+](C)(CC)CC,cation,ammonium,130.25499999999997
CCC[N+](C)(CC)CCC,cation,ammonium,144.28199999999998
CCC[N+]1(C)CCCC1,cation,pyrrolidinium,128.23899999999998
CCC[N+]1(C)CCCCC1,cation,piperidinium,142.26599999999996
CCC[N+]1(C)CCOCC1,cation,morpholinium,144.23799999999997
CCC[NH+](C)C,cation,ammonium,88.17399999999999
CCC[NH+](C)CCC,cation,ammonium,116.228
CCC[NH+](CC)CC,cation,ammonium,116.228
CCC[NH3+],cation,ammonium,60.11999999999999
CCC[S+]1CCCC1,cation,sulfonium,131.26399999999998
CCC[n+]1cccc(C)c1,cation,pyridinium,136.21799999999996
CCC[n+]1ccccc1,cation,pyridinium,122.19099999999995
CCC[n+]1ccn(C)c1C,cation,imidazolium,139.22199999999998
CCC[n+]1cn(C)cn1,cation,other N-heterocycle,126.18299999999998
CCCc1cccc[n+]1CC,cation,pyridinium,150.24499999999995
CCCn1cc[n+](C)c1,cation,imidazolium,125.19499999999996
CCCn1cc[n+](C)c1C,cation,imidazolium,139.22199999999998
CCCn1cc[n+](CC)c1,cation,imidazolium,139.22199999999998
CCN(CC)c1c(N(CC)CC)[c+]1N(CC)CC,cation,other,252.42599999999996
CCN=C(N(C)C)[NH+](C)C,cation,ammonium,144.242
CCOC(=O)C[N+](C)(C)CC,cation,ammonium,160.237
CCOC(=O)C[N+]1(C)CCCC1,cation,pyrrolidinium,172.24799999999996
CCOC(=O)C[n+]1ccccc1,cation,pyridinium,166.20000000000002
CCOC(=O)Cn1cc[n+](C)c1,cation,imidazolium,169.20399999999998
CCOC(=O)c1ccc[n+](CC)c1,cation,pyridinium,180.22699999999995
CCOCC[N+](C)(C)CC,cation,ammonium,146.254
CCOCC[N+]1(C)CCCC1,cation,pyrrolidinium,158.265
CCOCC[N+]1(C)CCCCC1,cation,piperidinium,172.29199999999997
CCOCC[N+]1(C)CCOCC1,cation,morpholinium,174.26399999999998
CCOCC[NH+](C)C,cation,ammonium,118.2
CCOCC[n+]1ccccc1,cation,pyridinium,152.217
CCOCCn1cc[n+](C)c1,cation,imidazolium,155.221
CCOCCn1cc[n+](CC)c1,cation,imidazolium,169.248
CCOC[N+](C)(C)CC,cation,ammonium,132.227
CCOC[N+]1(C)CCCC1,cation,pyrrolidinium,144.23799999999997
CCOC[N+]1(C)CCCCC1,cation,piperidinium,158.26499999999996
CCOC[N+]1(C)CCOCC1,cation,morpholinium,160.23699999999997
CCOC[P+](CC)(CC)CC,cation,phosphonium,177.24799999999996
CCOC[n+]1ccccc1,cation,pyridinium,138.18999999999997
CCOC[n+]1ccn(C)c1,cation,imidazolium,141.194
CCOCn1cc[n+](C)c1,cation,imidazolium,141.194
CCOn1cc[n+](OCC)c1,cation,imidazolium,157.19299999999998
CCS(=O)(=O)CCn1cc[n+](C)c1,cation,imidazolium,203.287
CCSCC[P+](CC)(CC)CC,cation,phosphonium,207.34299999999996
CC[N+](C)(C)CC#N,cation,ammonium,113.184
CC[N+](C)(C)CCCO,cation,ammonium,132.227
CC[N+](C)(C)CCCOC,cation,ammonium,146.254
CC[N+](C)(C)CCO,cation,ammonium,118.19999999999999
CC[N+](C)(C)CCOC,cation,ammonium,132.227
CC[N+](C)(CC)CCOC,cation,ammonium,146.254
CC[N+](CC)(CC)CC,cation,ammonium,130.255
CC[N+](CC)(CC)CCOC,cation,ammonium,160.28099999999998
CC[N+](CC)=C(N(C)C)N(C)C,cation,ammonium,172.296
CC[N+]1(C)CCCC1,cation,pyrrolidinium,114.212
CC[N+]1(C)CCCCC1,cation,piperidinium,128.239
CC[N+]1(C)CCOCC1,cation,morpholinium,130.21099999999998
CC[NH+](C)CC,cation,ammonium,88.17399999999999
CC[NH+](CC)CC,cation,ammonium,102.201
CC[NH+]1C=CN(C)C1,cation,other N-heterocycle,113.184
CC[NH+]1C=CN=C1,cation,other N-heterocycle,97.14099999999999
CC[NH2+]CC,cation,ammonium,74.14699999999999
CC[NH3+],cation,ammonium,46.092999999999996
CC[P+](CC)(CC)CCOC,cation,phosphonium,177.24799999999996
CC[P+](CC)(CC)CCSC,cation,phosphonium,193.31599999999997
CC[P+](CC)(CC)COCCOC,cation,phosphonium,207.27399999999994
CC[P+](CC)(CC)CSC,cation,phosphonium,179.289
CC[S+](C)CC,cation,sulfonium,105.226
CC[S+](CC)CC,cation,sulfonium,119.253
CC[S+]1CCCC1,cation,sulfonium,117.23700000000001
CC[n+]1cc(C)n(C)c1,cation,imidazolium,125.195
CC[n+]1ccc(C)cc1,cation,pyridinium,122.19099999999997
CC[n+]1ccc(N(C)C)cc1,cation,pyridinium,151.233
CC[n+]1cccc(C)c1,cation,pyridinium,122.19099999999997
CC[n+]1ccccc1,cation,pyridinium,108.16399999999997
CC[n+]1ccccc1C,cation,pyridinium,122.19099999999997
CC[n+]1ccn(C)c1,cation,imidazolium,111.16799999999999
CC[n+]1ccn(CCOC)c1,cation,imidazolium,155.221
CC[n+]1ccn(Cc2ccc(C)cc2)c1,cation,imidazolium,201.293
CCc1cccc[n+]1CC,cation,pyridinium,136.218
CCn1cc(C)[n+](C)c1,cation,imidazolium,125.195
CCn1cc(C)[n+](CC)c1,cation,imidazolium,139.222
CCn1cc[n+](C)c1,cation,imidazolium,111.16799999999999
CCn1cc[n+](C)c1C,cation,imidazolium,125.195
CCn1cc[n+](CC)c1,cation,imidazolium,125.195
CCn1cc[n+](CCOC)c1,cation,imidazolium,155.221
CCn1cc[nH+]c1,cation,imidazolium,97.14099999999999
CCn1ccc[n+]1C,cation,pyrazolium,111.16799999999999
CN(C)C(=N)[NH+](C)C,cation,ammonium,116.18799999999999
CN(C)C(N)=[N+](C)C,cation,ammonium,116.188
CN(C)c1cc[n+](C)cc1,cation,pyridinium,137.206
CN1C=C[NH+](C)C1,cation,other N-heterocycle,99.157
CN1C=C[NH+](CCO)C1,cation,other N-heterocycle,129.183
CN1CCC[NH+]2CCCN=C12,cation,other N-heterocycle,154.237
COC(=O)C([NH3+])Cc1ccccc1,cation,ammonium,180.22700000000003
COC(=O)C1CCC[NH2+]1,cation,pyrrolidinium,130.167
COC(C)Cn1cc[n+](C)c1,cation,imidazolium,155.221
COCCCCn1cc[n+](C)c1,cation,imidazolium,169.248
COCCC[N+]1(C)CCCC1,cation,pyrrolidinium,158.265
COCCC[N+]1(C)CCCCC1,cation,piperidinium,172.29199999999997
COCCC[N+]1(C)CCOCC1,cation,morpholinium,174.26399999999998
COCCC[n+]1ccccc1,cation,pyridinium,152.217
COCCC[n+]1ccn(C)c1,cation,imidazolium,155.221
COCCCn1cc[n+](C)c1,cation,imidazolium,155.221
COCCOCCOCC[n+]1ccccc1,cation,pyridinium,226.29600000000002
COCCOCC[n+]1ccccc1,cation,pyridinium,182.24300000000005
COCCOCCn1cc[n+](C)c1,cation,imidazolium,185.24700000000004
COCC[N+](C)(C)C,cation,ammonium,118.19999999999999
COCC[N+]1(C)CCCC1,cation,pyrrolidinium,144.23799999999997
COCC[N+]1(C)CCCCC1,cation,piperidinium,158.26499999999996
COCC[N+]1(C)CCOCC1,cation,morpholinium,160.23699999999997
COCC[NH+]1C=CN(C)C1,cation,other N-heterocycle,143.20999999999995
COCC[NH2+]CCOC,cation,ammonium,134.199
COCC[n+]1ccccc1,cation,pyridinium,138.18999999999997
COCC[n+]1ccn(C)c1,cation,imidazolium,141.194
COCCn1cc[n+](C)c1,cation,imidazolium,141.194
COC[N+]1(C)CCCC1,cation,pyrrolidinium,130.21099999999998
COC[n+]1ccccc1,cation,pyridinium,124.16299999999995
COCn1cc[n+](C)c1,cation,imidazolium,127.16699999999997
COc1ccc(-[n+]2c(C)cc(C)n2C)cc1,cation,pyrazolium,217.292
C[N+](C)(C)C,cation,ammonium,74.14699999999999
C[N+](C)(C)CCCC(=O)O,cation,ammonium,146.21
C[N+](C)(C)CCO,cation,ammonium,104.17299999999999
C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1,cation,ammonium,250.38399999999993
C[N+](C)(CCO)CCCNC(=O)C(O)C(O)C(O)C(O)CO,cation,ammonium,325.38200000000006
C[N+](C)=CCl,cation,ammonium,92.549
C[N+](CCO)(CCO)CCO,cation,ammonium,164.22499999999997
C[N+]1(C#N)CCOCC1,cation,morpholinium,127.167
C[N+]1(CC#N)CCCC1,cation,pyrrolidinium,125.19500000000001
C[N+]1(CC#N)CCCCC1,cation,piperidinium,139.222
C[N+]1(CC#N)CCOCC1,cation,morpholinium,141.194
C[N+]1(CCCC#N)CCOCC1,cation,morpholinium,169.248
C[N+]1(CCCO)CCCC1,cation,pyrrolidinium,144.23799999999997
