smiles,type,family,mw,source_properties,source_split_roles,source_files
CCCCCCCC[n+]1cccc2ccccc21,cation,pyridinium,242.38600000000005,tox;vis,train;val,train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_tox.csv;train_3_group_vis.csv;train_4_group_tox.csv;train_4_group_vis.csv;train_5_group_tox.csv;val_2_group_tox.csv;val_4_group_tox.csv;val_5_group_vis.csv
CCCCCCCC[n+]1ccccc1,cation,pyridinium,192.32600000000005,tox;vis,train;val,train_1_group_tox.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_tox.csv;train_3_group_vis.csv;train_4_group_tox.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_5_group_tox.csv
CCCCCCCC[n+]1ccn(C)c1,cation,imidazolium,195.33000000000004,co2;vis,test;train;val,test_group_vis.csv;train_1_group_co2.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_vis.csv;val_1_group_co2.csv;val_1_group_vis.csv;val_2_group_vis.csv;val_4_group_vis.csv;val_5_group_co2.csv;val_5_group_vis.csv
CCCCCCCC[n+]1ccn(CC)c1,cation,imidazolium,209.35700000000003,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_3_group_vis.csv
CCCCCCCC[n+]1ccn(Cc2ccc(C)cc2)c1,cation,imidazolium,285.45500000000004,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_3_group_vis.csv
CCCCCCCCc1cccc[n+]1CC,cation,pyridinium,220.38000000000002,vis,train;val,train_1_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_2_group_vis.csv
CCCCCCCCn1cc[n+](C)c1,cation,imidazolium,195.33000000000004,co2;tox;vis,test;train;val,test_group_co2.csv;train_1_group_co2.csv;train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_tox.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_4_group_tox.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_tox.csv;train_5_group_vis.csv;val_1_group_tox.csv;val_1_group_vis.csv;val_2_group_co2.csv;val_2_group_tox.csv;val_2_group_vis.csv;val_3_group_tox.csv;val_4_group_co2.csv;val_4_group_tox.csv;val_4_group_vis.csv;val_5_group_co2.csv;val_5_group_vis.csv
CCCCCCCCn1cc[n+](CCC#N)c1,cation,imidazolium,234.36700000000002,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_2_group_vis.csv
CCCCCCCCn1cc[n+](CCCCCCCC)c1,cation,imidazolium,293.519,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_5_group_vis.csv;val_4_group_vis.csv
CCCCCCCOC[n+]1cccc(O)c1,cation,pyridinium,224.324,tox,train;val,train_1_group_tox.csv;train_2_group_tox.csv;train_3_group_tox.csv;train_4_group_tox.csv;train_5_group_tox.csv;val_1_group_tox.csv;val_3_group_tox.csv;val_5_group_tox.csv
CCCCCCC[N+](C)(C)CC,cation,ammonium,172.33599999999998,co2;vis,train;val,train_1_group_co2.csv;train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_5_group_co2.csv;train_5_group_vis.csv;val_2_group_co2.csv;val_4_group_vis.csv
CCCCCCC[N+](CC)(CC)CC,cation,ammonium,200.39,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_5_group_vis.csv;val_4_group_vis.csv
CCCCCCC[N+]1(C)CCCC1,cation,pyrrolidinium,184.34699999999995,co2,train;val,train_2_group_co2.csv;train_3_group_co2.csv;train_4_group_co2.csv;train_5_group_co2.csv;val_1_group_co2.csv
CCCCCCC[N+]1(C)CCCCC1,cation,piperidinium,198.37399999999994,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_3_group_vis.csv
CCCCCCC[N+]1(C)CCOCC1,cation,morpholinium,200.34599999999995,vis,train;val,train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv
CCCCCCC[NH+]1C=CN(C)C1,cation,other N-heterocycle,183.319,tox,train;val,train_2_group_tox.csv;train_3_group_tox.csv;train_4_group_tox.csv;train_5_group_tox.csv;val_1_group_tox.csv
CCCCCCC[P+](CC)(CC)CC,cation,phosphonium,217.35699999999994,vis,train;val,train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv
