property,source_partition,source_record_id,cation,anion,canonical_group,decision,cation_charge,anion_charge,valid,reason
co2,non_test,6990,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,7029,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,7101,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,7205,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,7366,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,7644,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,7920,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,8109,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,8111,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,8122,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,8677,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,8727,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,8755,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,8758,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,8759,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,8762,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,8764,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
